Reference,Dataset,Zone,Date,Own/rent land,Purpose,Purpose,Size,Farmer,Focus,Focus,Focus,Conservation concern,Seen hares,When,Consider hares pests,Hare numbers (=<50),Hare numbers (>5),Aware of 2 sp in NI,Seen L. europaeus,Seen L. europaeus on own land,Most recent,Is threat of L. europaeus important,Support management of L. europaeus,Habitat management for L. t. hibernicus,Lethal culling,Shooting,Netting,Trapping,Other,Support management via petition,Landowner permission to survey,Allow cull on own land,Member of conservation org,Hunt,Game birds,Rabbits,Wildfowl,Fishing/Angling,Other,Other,Support cull with direct involvement,Allow cull on land,Support Gov't cull decision
HP00514,P,CORE,13/08/2014,Y,A,,180a,Y,D,,,C,Y,0,N,I,N,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,,,,Y,,Y
HP00714,P,CORE,13/08/2014,Y,A,,50ha,Y,B,,,N,Y,0,Y,I,I,Y,N,Y,0,Y,Y,Y,Y,,,,,Y,Y,Y,Y,Y,,,,,,,Y,Y,Y
HP00914,P,CORE,30/08/2014,Y,,,3a,N,,,,C,Y,1,Y,D,D,N,N,N,,Y,Y,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP01014,P,CORE,12/08/2014,Y,A,,8ha,Y,B,S,A,H,Y,0,N,D,D,N,N,N,,N,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP01114,P,CORE,,Y,A,,14ha,Y,S,,,C,Y,6,N,D,N,N,N,N,,Y,Y,Y,N,,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP01214,P,CORE,13/08/2014,Y,,,,N,,,,C,Y,0,N,N,N,N,Y,Y,,Y,Y,Y,N,,,,,N,,Y,N,N,,,,,,,N,Y,Y
HP02314,P,CORE,14/08/2014,N,,,,N,,,,C,Y,2,N,D,D,N,N,,,Y,Y,Y,Y,,,,,Y,,,N,N,,,,,,,Y,,Y
HP02414,P,CORE,,Y,O,,2a,N,,,,,Y,0,N,N,N,N,Y,N,,Y,Y,,Y,Y,,,,Y,N,N,N,Y,Y,Y,Y,Y,,,Y,N,Y
HP03214,P,CORE,,Y,A,,27a,Y,B,S,M,C,Y,1,Y,N,N,N,N,N,,N,N,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP03614,P,CORE,13/08/2014,Y,A,,15a,Y,M,,,C,Y,1,N,D,D,Y,Y,Y,1,N,N,Y,N,,,,,N,Y,N,N,Y,,,,,V,,N,N,N
HP03714,P,CORE,13/08/2014,Y,A,,45a,N,,,,C,Y,0,N,D,D,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,N,,,,,,,N,N,Y
HP04514,P,CORE,29/08/2014,Y,,,,N,,,,C,N,,N,N,N,Y,N,N,,Y,Y,Y,N,,Y,Y,,N,,,N,N,,,,,,,N,N,N
HP05114,P,CORE,13/08/2014,Y,A,,100a,Y,D,,,H,Y,0,Y,D,D,N,N,N,,N,N,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP05414,P,CORE,18/08/2014,Y,,,,N,,,,C,Y,1,N,D,D,N,N,N,,Y,Y,Y,Y,,,Y,,N,,,N,N,,,,,,,,,Y
HP05514,P,CORE,16/08/2014,N,,,,N,,,,N,Y,6,N,D,D,Y,N,,,Y,Y,,Y,Y,Y,Y,,Y,,,N,Y,Y,,Y,,,,Y,,Y
HP05714,P,CORE,,Y,A,,64a,N,,,,H,Y,0,Y,D,D,Y,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,N,,,,,,,Y,Y,Y
HP06014,P,CORE,14/08/2014,Y,,,44ha,Y,A,,,C,Y,6,Y,D,D,N,N,N,,Y,Y,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP06514,P,CORE,25/08/2014,Y,A,,2a,N,,,,C,Y,,N,D,D,N,Y,Y,0,N,Y,Y,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP06814,P,CORE,,N,,,,N,,,,C,Y,,Y,D,D,N,N,,,Y,Y,Y,N,,,Y,,Y,,,N,N,,,,,,,Y,,Y
HP07114,P,CORE,18/08/2014,Y,A,,300a,Y,D,,,C,Y,0,N,D,D,N,N,N,,N,Y,Y,Y,,,,,N,Y,Y,N,Y,,Y,,,,,Y,Y,Y
HP07314,P,CORE,,Y,,,,N,,,,C,Y,,Y,N,N,N,N,N,,N,N,N,Y,,,Y,,N,Y,Y,N,N,,,,,,,Y,Y,Y
HP07914,P,CORE,14/08/2014,Y,A,,20a,Y,H,,,H,Y,0,N,I,N,N,N,N,,Y,Y,Y,N,,,,,N,N,N,N,,,,,,,,N,N,N
HP08214,P,CORE,13/08/2014,N,,,,N,,,,C,Y,2,N,D,D,Y,Y,,,Y,Y,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP08414,P,CORE,12/08/2014,Y,A,,400a,Y,D,,,C,Y,0,N,D,N,N,N,N,,Y,Y,,Y,Y,,,,Y,Y,Y,N,Y,,Y,,,,,N,Y,Y
HP08814,P,CORE,,Y,A,,40ha,Y,D,,,C,Y,,N,N,I,Y,N,N,,Y,Y,Y,N,,,,,N,Y,Y,N,Y,,,,,,,N,N,N
HP08914,P,CORE,29/09/2014,Y,A,,50ha,Y,B,,,C,Y,0,Y,D,N,N,Y,Y,0,N,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP09414,P,CORE,18/08/2014,Y,A,,60a,Y,B,,,C,Y,0,N,N,N,Y,N,N,,Y,Y,Y,N,,Y,,,Y,Y,Y,N,Y,Y,Y,Y,,,,N,N,Y
HP12514,P,CORE,13/08/2014,Y,A,,,Y,S,,,C,Y,6,N,N,N,N,N,N,,,,,,,,,,N,N,,,,,,,,,,,,
HP12614,P,CORE,01/09/2014,Y,A,,6a,N,,,,N,Y,2,N,D,D,N,N,N,,Y,N,N,N,,,,,N,N,N,N,Y,,,Y,,,,N,Y,Y
HP12714,P,CORE,18/08/2014,Y,A,,60a,Y,B,S,,C,Y,0,N,I,I,N,Y,Y,0,Y,Y,Y,Y,,Y,,,Y,Y,Y,N,Y,,,,,Y,,Y,Y,Y
HP13114,P,CORE,20/08/2014,Y,A,,70a,Y,D,,,H,Y,0,N,N,N,N,N,N,,Y,Y,N,N,,,,,N,N,,N,N,,,,,,,N,N,N
HP13714,P,CORE,12/08/2014,Y,,,,N,,,,C,Y,0,Y,I,I,N,N,N,,Y,Y,Y,N,,Y,,,N,N,,N,N,,,,,,,N,N,N
HP14314,P,CORE,19/08/2014,Y,A,,30a,Y,B,S,,C,Y,2,N,D,N,N,N,N,,N,Y,Y,N,,,,,N,Y,Y,N,N,,,,,,,N,N,Y
HP14814,P,CORE,20/08/2014,N,,,,N,,,,N,Y,6,N,D,N,N,N,N,,N,Y,Y,Y,,Y,,,N,Y,Y,N,N,,,,,,,Y,Y,Y
